Date,Open,High,Low,Close ,Adj Close ,Volume
31-Jan-25,170.41,173,169.13,170.06,169.09,"8,704,600"
30-Jan-25,164.78,171.49,164.1,170.38,169.41,"14,981,700"
29-Jan-25,164.03,164.03,160.01,162.02,161.1,"9,866,600"
28-Jan-25,162.99,165.83,156.75,164,163.07,"20,319,300"
27-Jan-25,168.9,172.52,152.66,158.28,157.38,"42,201,600"
24-Jan-25,188.64,189.1,181.87,183.6,182.55,"12,147,200"
23-Jan-25,181.64,186.57,181.5,186.47,185.41,"17,314,600"
22-Jan-25,191.51,191.99,180.57,184.22,183.17,"48,028,500"
21-Jan-25,163.87,173.37,162.75,172.57,171.59,"30,232,000"
17-Jan-25,161.77,163.16,160.54,161.03,160.11,"11,618,300"
16-Jan-25,160.15,161.5,158.41,159.54,158.63,"9,210,600"
15-Jan-25,158.67,159.15,157.26,158.31,157.41,"10,701,200"
14-Jan-25,156.42,157.25,154.35,156.31,155.42,"7,410,200"
13-Jan-25,153.74,154.15,152.42,153.92,153.04,"8,828,500"
10-Jan-25,159.2,159.2,153.92,154.5,153.62,"13,593,900"
8-Jan-25,162.18,163.98,161.43,163.14,161.81,"7,596,200"
7-Jan-25,165.58,166.16,161.32,162.03,160.71,"7,712,200"
6-Jan-25,167.31,168.05,165.19,165.69,164.34,"6,845,400"
3-Jan-25,166.7,167.2,165.27,166.32,164.97,"5,876,000"
2-Jan-25,168.52,168.69,164.9,166.03,164.68,"5,360,800"
31-Dec-24,167.2,167.3,165.84,166.64,165.29,"4,307,500"
30-Dec-24,166.51,167.91,164.55,166.91,165.55,"5,254,800"
27-Dec-24,170.38,171.15,167.2,168.96,167.59,"4,344,300"
26-Dec-24,170.5,172.55,170.5,171.68,170.28,"4,100,100"
24-Dec-24,169.7,171.77,169.03,171.41,170.02,"2,451,500"
23-Dec-24,169.59,169.62,167.17,169.14,167.76,"6,518,200"
20-Dec-24,167.73,171.26,165.63,169.66,168.28,"13,810,500"
19-Dec-24,167.55,171,167.4,168.79,167.42,"8,386,400"
18-Dec-24,169.41,171.23,165.36,165.41,164.07,"8,817,900"
17-Dec-24,170.75,172.99,169.27,169.71,168.33,"8,940,200"
16-Dec-24,173.84,174.27,170.93,171.23,169.84,"9,572,000"
13-Dec-24,175,176.14,171.64,173.39,171.98,"8,351,100"
12-Dec-24,178,178.17,174.81,175.32,173.89,"8,154,200"
11-Dec-24,178,181.38,174.83,178.58,177.13,"13,188,700"
10-Dec-24,173.46,177.8,171.06,177.74,176.29,"26,502,000"
9-Dec-24,196.3,198.31,188.93,190.45,188.9,"20,158,000"
6-Dec-24,187,192.63,186.38,191.69,190.13,"10,503,400"
